plant_id	plant_name	plant_location	parsed_genus	parsed_species	parsed_var	parsed_cultivar	is_various	match_path	confidence	match_full_name	candidate_count	alt_paths
F1	S. flava var. rubricorpora (various clones)	Liberty Co, FL	Sarracenia	flava	rubricorpora		yes	sarracenia/flava/all-red-l-x-best-liberty-fl	medium	Sarracenia flava ALL RED (L × best) Liberty Co, FL	5	sarracenia/flava/var-rubricorpora/back-row-dark-2-liberty-fl | sarracenia/flava/var-rubricorpora/back-row-giant-liberty-fl | sarracenia/flava/var-rubricorpora/best-clone-liberty-fl | sarracenia/flava/var-rubricorpora/black-throat-liberty-fl
F1a	S. flava var. rubricorpora	Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/all-red-l-x-best-liberty-fl	medium	Sarracenia flava ALL RED (L × best) Liberty Co, FL	5	sarracenia/flava/var-rubricorpora/back-row-dark-2-liberty-fl | sarracenia/flava/var-rubricorpora/back-row-giant-liberty-fl | sarracenia/flava/var-rubricorpora/best-clone-liberty-fl | sarracenia/flava/var-rubricorpora/black-throat-liberty-fl
F3	S. flava var. rubricorpora clone C	Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/var-rubricorpora/clone-c-liberty-fl	high	Sarracenia flava var. rubricorpora clone C Liberty Co, FL	1	
F4	S. flava var. rubricorpora clone D	Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/all-red-l-x-best-liberty-fl	medium	Sarracenia flava ALL RED (L × best) Liberty Co, FL	5	sarracenia/flava/var-rubricorpora/back-row-dark-2-liberty-fl | sarracenia/flava/var-rubricorpora/back-row-giant-liberty-fl | sarracenia/flava/var-rubricorpora/best-clone-liberty-fl | sarracenia/flava/var-rubricorpora/black-throat-liberty-fl
F5	S. flava var. rubricorpora clone E	Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/var-rubricorpora/clone-e-liberty-fl	high	Sarracenia flava var. rubricorpora clone E Liberty Co, FL	1	
F6	S. flava var. rubricorpora clone G	Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/var-rubricorpora/clone-g-liberty-fl	high	Sarracenia flava var. rubricorpora 'Clone G' Liberty Co, FL	1	
F7	S. flava var. rubricorpora clone H	Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/var-rubricorpora/clone-h-liberty-fl	high	Sarracenia flava var. rubricorpora 'Clone H' Liberty Co, FL	1	
F8	S. flava var. rubricorpora clone L	Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/var-rubricorpora/clone-l-liberty-fl	high	Sarracenia flava var. rubricorpora 'Clone L' near Sumatra, Liberty Co, FL	3	sarracenia/flava/var-rubricorpora/clone-l-x-best-liberty-fl | sarracenia/flava/var-rubricorpora/clone-l-x-best-select-dark-liberty-fl
F9	S. flava var. rubricorpora clone M	Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/var-rubricorpora/clone-m-liberty-fl	high	Sarracenia flava var. rubricorpora Clone M Liberty Co, FL	1	
F10	S. flava var. rubricorpora clone N	Near Sumatra, Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/var-rubricorpora/clone-n-liberty-fl	high	Sarracenia flava var. rubricorpora 'clone N' Liberty Co, FL	1	
F11	S. flava var. rubricorpora clone T	Liberty Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/var-rubricorpora/clone-t-liberty-fl	high	Sarracenia flava var. rubricorpora 'Clone T' Liberty Co, FL	1	
F12	S. flava var. rubricorpora 'Ultimate Dark'	Liberty Co, FL	Sarracenia	flava	rubricorpora	Ultimate Dark		sarracenia/flava/all-red-l-x-best-liberty-fl	medium	Sarracenia flava ALL RED (L × best) Liberty Co, FL	5	sarracenia/flava/var-rubricorpora/back-row-dark-2-liberty-fl | sarracenia/flava/var-rubricorpora/back-row-giant-liberty-fl | sarracenia/flava/var-rubricorpora/best-clone-liberty-fl | sarracenia/flava/var-rubricorpora/black-throat-liberty-fl
F13	S. flava var. rubricorpora 'dark,elegant'	Liberty Co, FL	Sarracenia	flava	rubricorpora	dark,elegant		sarracenia/flava/all-red-l-x-best-liberty-fl	medium	Sarracenia flava ALL RED (L × best) Liberty Co, FL	5	sarracenia/flava/var-rubricorpora/back-row-dark-2-liberty-fl | sarracenia/flava/var-rubricorpora/back-row-giant-liberty-fl | sarracenia/flava/var-rubricorpora/best-clone-liberty-fl | sarracenia/flava/var-rubricorpora/black-throat-liberty-fl
F14	S. flava var. rubricorpora 'GIANT'	Liberty Co, FL	Sarracenia	flava	rubricorpora	GIANT		sarracenia/flava/var-rubricorpora/back-row-giant-liberty-fl	high	Sarracenia flava var. rubricorpora 'Back Row Giant' Liberty Co, FL	2	sarracenia/flava/var-rubricorpora/giant-lid-liberty-fl
F16	S. flava var. rubricorpora 'Best Clone'	Near Sumatra, Liberty Co, FL	Sarracenia	flava	rubricorpora	Best Clone		sarracenia/flava/var-rubricorpora/best-clone-liberty-fl	high	Sarracenia flava var. rubricorpora 'best clone' Liberty Co, FL	3	sarracenia/flava/var-rubricorpora/clone-l-x-best-liberty-fl | sarracenia/flava/var-rubricorpora/clone-l-x-best-select-dark-liberty-fl
F17	S. flava var. rubricorpora L x Best clone	Liberty Co, FL	Sarracenia	flava	rubricorpora	L x Best clone		sarracenia/flava/all-red-l-x-best-liberty-fl	medium	Sarracenia flava ALL RED (L × best) Liberty Co, FL	5	sarracenia/flava/var-rubricorpora/back-row-dark-2-liberty-fl | sarracenia/flava/var-rubricorpora/back-row-giant-liberty-fl | sarracenia/flava/var-rubricorpora/best-clone-liberty-fl | sarracenia/flava/var-rubricorpora/black-throat-liberty-fl
F19	S. flava var. rubricorpora	Bay Co, FL	Sarracenia	flava	rubricorpora			sarracenia/flava/var-rubricorpora/bay-co-fl-population	medium	Sarracenia flava var. rubricorpora Bay Co, FL — population overview	2	sarracenia/flava/var-rubricorpora/ert-recessive-bay-fl
F20	S. flava var. rugelii clone A (best clone)	Florida	Sarracenia	flava	rugelii	(best clone)		sarracenia/flava/var-rugelii/clone-a-x-clone-b-seedlings	high	Sarracenia flava var. rugelii — Clone A (best clone) × Clone B seedlings + reference clones	1	
F21	S. flava var. rugelii clone#1	Liberty Co, FL	Sarracenia	flava	rugelii	clone#1		sarracenia/flava/var-rugelii/clone-1-liberty-fl	high	Sarracenia flava var. rugelii clone#1 Liberty Co, FL	2	sarracenia/flava/var-rugelii/clone-1-okaloosa-fl
F22	S. flava var. rugelii exceptional clone#1	Okaloosa Co, FL	Sarracenia	flava	rugelii	exceptional clone#1		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	medium	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/clone-1-okaloosa-co-fl | sarracenia/flava/var-rugelii/clone-1-okaloosa-fl | sarracenia/flava/var-rugelii/copper-blush-okaloosa-co-fl | sarracenia/flava/var-rugelii/jh319-okaloosa-fl
